NomCommune	Surface	Code insee	Pop 90	Pop 99	lon	lat	x mètres	y mètres	pixel x	pixel y
Chauffry	512	77106	762	850	3.1803538504	48.8215462882	124343.293475571	75588.9757685997	621.7164673779	377.944878843
Garancières	1042.6	78265	1923	2242	1.7587012229	48.8237540754	19968.768218854	76535.66088052	99.8438410943	382.6783044026
Collégien	336.8	77121	2331	2983	2.6770131827	48.8277274434	87389.347959078	76309.6422033496	436.9467397954	381.5482110167
Boissy-le-Châtel	1000	77042	2366	2661	3.1365096338	48.8256230364	121123.337835301	76035.8167479392	605.6166891765	380.1790837397
Tigeaux	614.3	77466	343	366	2.8978292435	48.8248398856	103599.947202203	75944.9265793897	517.999736011	379.7246328969
Villiers-sur-Marne	431.4	94079	22740	26632	2.5456806921	48.8258022695	77746.538171918	76143.0379307596	388.7326908596	380.7151896538
Marnes-la-Coquette	347.7	92047	1594	1519	2.1665901621	48.8302419118	49920.96864259	76863.60271711	249.604843213	384.3180135856
Plaisir	1758.7	78490	25877	31045	1.9469188526	48.8125868728	33769.684784648	75093.3182581393	168.8484239232	375.4665912907
Saint-Rémy-la-Vanne	1509	77432	699	807	3.2419386795	48.8124207835	128868.135466657	74586.3970409995	644.3406773333	372.931985205
Le Chesnay	430.8	78158	29542	28530	2.1299930223	48.8271154329	47230.667240667	76544.9617026895	236.1533362033	382.7248085134
Neauphle-le-Vieux	764	78443	577	707	1.8592765827	48.8153844619	27338.726468864	75493.7553519094	136.6936323443	377.4687767595
Sèvres	387.8	92072	21990	22534	2.2102147037	48.8213519757	53113.427805629	75842.2471265197	265.5671390281	379.2112356326
Villiers-Saint-Frédéric	510.1	78683	2306	2386	1.8833172971	48.8205361215	29111.9991017201	76041.2837352799	145.5599955086	380.2064186764
Villeneuve-le-Comte	1904.9	77508	1297	1683	2.8383865275	48.811491787	99232.7226267781	74468.0282667996	496.1636131339	372.340141334
Emerainville	531.8	77169	6766	7027	2.6091026919	48.8198551452	82399.45782961	75456.8552099597	411.9972891481	377.2842760498
Saint-Siméon	1290	77436	691	737	3.1945396077	48.804570812	125389.503140518	73703.9391621798	626.9475157026	368.5196958109
Bazainville	1201.4	78048	1115	1192	1.6670787092	48.8069386179	13211.177388102	74775.8470594594	66.0558869405	373.8792352973
