nomcom,surf,insee,pop90,pop99,lon,lat,gares,tx_hlm,dece9909,jeunesse,p09_pop,p99_pop,d90_pop,d82_pop,d75_pop,d68_pop,median,tx_appart
Buchelay,498.40000000000,78118,2066.00000000000,2203.00000000000,1.67442912399967,48.9838738464351,36.1141108737701,55.3072616662256,95,1.8163430420712,2286,2206,2066,1043,1064,1090,22459,10.2167613600415
Vernouillet,675.80000000000,78643,8676.00000000000,9471.00000000000,1.97548530480918,48.9657427920374,49.5869481194291,71.5231786550545,618,1.92559874361995,9398,9496,8676,6424,6168,5872,24901,36.5272456624125
La Ferté-sous-Jouarre,1007.60000000000,77183,8236.00000000000,8584.00000000000,3.1275951476255,48.9541155223658,82.4803762184696,27.7830319232246,954,1.61173936456651,9050,8586,8236,7007,6872,6277,18202,48.1391076115486
Enghien-les-Bains,174.30000000000,95210,10077.00000000000,10368.00000000000,2.30510491997378,48.9701858739042,100.000000056558,15.2917694745592,1054,1.36682853940979,11903,10367,10077,9739,10712,12152,28223,73.0788113269071
Aulnay-sous-Bois,1624.90000000000,93005,82314.00000000000,80021.00000000000,2.49355105642888,48.9460095008986,99.9999999943865,62.9803182184029,4596,2.45685504971219,82525,80030,82314,75996,78137,61521,15178,55.6500203475714
Trilbardou,798.70000000000,77474,406.00000000000,517.00000000000,2.80440018032614,48.9489138636396,0,0,27,4.65408805031447,636,519,406,367,358,310,22641,18.6138696486689
Epinay-sur-Seine,458.80000000000,93031,48762.00000000000,46409.00000000000,2.31496591404439,48.9545637148217,99.9999999951777,61.3649317940292,2684,2.80696861026254,53777,46558,48762,50314,46578,41774,13207,82.5396093783208
Maisons-Laffitte,698.10000000000,78358,22173.00000000000,21856.00000000000,2.1518722368826,48.9524481842095,87.4763846899221,23.0820438020135,1902,1.25584822250875,22717,21907,22173,22595,23504,24223,33617,70.930826272162
Villeparisis,841.10000000000,77514,18790.00000000000,21296.00000000000,2.61676899390835,48.9420267654723,53.1740458145904,35.0577595622428,1163,2.23617021276596,24146,21294,18790,16659,14817,13470,20154,50.5342343599682
La Falaise,309.00000000000,78230,532.00000000000,607.00000000000,1.82487813761771,48.9366953719163,88.061540049944,0,25,2.58130081300813,622,607,532,465,429,430,26937,11.3050239751177
Villennes-sur-Seine,498.10000000000,78672,4504.00000000000,4790.00000000000,1.99677132902157,48.9358538863961,97.5165173449362,20.2229950029548,377,1.42108415693321,5070,4788,4504,3886,3323,2311,39453,27.2222222222222
Précy-sur-Marne,473.70000000000,77376,406.00000000000,480.00000000000,2.76835090237039,48.9322860770772,0,0,14,5,747,479,406,277,215,176,23756,15.442517363132
Longnes,1401.90000000000,78346,1220.00000000000,1360.00000000000,1.58035696326647,48.9229290733802,1.88111572300951,0,73,2.11755952380952,1469,1359,1220,910,682,624,24247,8.84062235627322
